date,code,usdprice
#date,#meta+code,#value+usd
2015-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,67.35
2015-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,59.65
2015-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,58.79
2015-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,60.32
2015-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,60.3
2015-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,60.33
2015-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,63.32
2015-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,65.35
2015-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,65.34
2015-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,61.36
2016-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,58.53
2016-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,61.05
2016-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,62.81
2016-04-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,69.34
2016-05-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,78.24
2016-06-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,100.81
2016-07-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,84.52
2016-08-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,77.46
2016-09-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,77.5
2016-10-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,79.93
2016-11-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,81.53
2016-12-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,79.82
2017-01-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,88.82
2017-02-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,88.68
2017-03-15,Yobe-Potiskum-Potiskum-Rice (local)-100 KG-Wholesale-NGN,90.45
